n=0 (mm);;;;
4;;;;
7;;;;
5;;;;
3;;;;
11;;;;
3;;;;
3;;;;
13;;;;
2;;;;
5;;;;
10;;;;
2;;;;
5;;;;
6;;;;
5;;;;
2;;;;
3;;;;
8;;;;
7;;;;
7;;;;
7;;;;
2;;;;
3;;;;
4;;;;
4;;;;
3;;;;
3;;;;
4;;;;
3;;;;
17;;;;
2;;;;
7;;;;
19;;;;
5;;;;
4;;;;
11;;;;
5;;;;
4;;;;
16;;;;
4;;;;
5;;;;
3;;;;
2;;;;
9;;;;
2;;;;
1;;;;
4;;;;
6;;;;
7;;;;
4;;;;
6;;;;
20;;;;
19;;;;
4;;;;
6;;;;
3;;;;
65;;;;
11;;;;
5;;;;
3;;;;
7;;;;
3;;;;
2;;;;
6;;;;
3;;;;
4;;;;
9;;;;
7;;;;
5;;;;
11;;;;
4;;;;
4;;;;
6;;;;
4;;;;
3;;;;
6;;;;
9;;;;
7;;;;
5;;;;
1;;;;
2;;;;
7;;;;
11;;;;
4;;;;
2;;;;
3;;;;
3;;;;
2;;;;
5;;;;
3;;;;
3;;;;
4;;;;
3;;;;
11;;;;
2;;;;
3;;;;
8;;;;
5;;;;
12;;;;
