n=1 (mm);;;;
11;;;;
12;;;;
8;;;;
14;;;;
14;;;;
6;;;;
16;;;;
15;;;;
7;;;;
15;;;;
12;;;;
7;;;;
11;;;;
11;;;;
7;;;;
5;;;;
11;;;;
15;;;;
14;;;;
14;;;;
9;;;;
5;;;;
7;;;;
8;;;;
7;;;;
6;;;;
7;;;;
7;;;;
20;;;;
19;;;;
9;;;;
26;;;;
24;;;;
9;;;;
15;;;;
16;;;;
9;;;;
20;;;;
20;;;;
9;;;;
8;;;;
5;;;;
11;;;;
11;;;;
3;;;;
5;;;;
10;;;;
13;;;;
11;;;;
10;;;;
26;;;;
39;;;;
23;;;;
10;;;;
9;;;;
68;;;;
76;;;;
16;;;;
8;;;;
10;;;;
10;;;;
5;;;;
8;;;;
9;;;;
7;;;;
13;;;;
16;;;;
12;;;;
16;;;;
15;;;;
8;;;;
10;;;;
10;;;;
7;;;;
9;;;;
15;;;;
16;;;;
12;;;;
6;;;;
3;;;;
9;;;;
18;;;;
15;;;;
6;;;;
5;;;;
6;;;;
5;;;;
7;;;;
8;;;;
6;;;;
7;;;;
7;;;;
14;;;;
13;;;;
5;;;;
11;;;;
13;;;;
17;;;;
