Distance (mm);;;;
0;;;;
4;;;;
11;;;;
16;;;;
19;;;;
30;;;;
33;;;;
36;;;;
49;;;;
51;;;;
56;;;;
66;;;;
68;;;;
73;;;;
79;;;;
84;;;;
86;;;;
89;;;;
97;;;;
104;;;;
111;;;;
118;;;;
120;;;;
123;;;;
127;;;;
131;;;;
134;;;;
137;;;;
141;;;;
144;;;;
161;;;;
163;;;;
170;;;;
189;;;;
194;;;;
198;;;;
209;;;;
214;;;;
218;;;;
234;;;;
238;;;;
243;;;;
246;;;;
248;;;;
257;;;;
259;;;;
260;;;;
264;;;;
270;;;;
277;;;;
281;;;;
287;;;;
307;;;;
326;;;;
330;;;;
336;;;;
339;;;;
404;;;;
415;;;;
420;;;;
423;;;;
430;;;;
433;;;;
435;;;;
441;;;;
444;;;;
448;;;;
457;;;;
464;;;;
469;;;;
480;;;;
484;;;;
488;;;;
494;;;;
498;;;;
501;;;;
507;;;;
516;;;;
523;;;;
528;;;;
529;;;;
531;;;;
538;;;;
549;;;;
553;;;;
555;;;;
558;;;;
561;;;;
563;;;;
568;;;;
571;;;;
574;;;;
578;;;;
581;;;;
592;;;;
594;;;;
597;;;;
605;;;;
610;;;;
622;;;;
