1s;;;;;
12;;;;;
13;;;;;
9;;;;;
12;;;;;
9;;;;;
11;;;;;
16;;;;;
8;;;;;
8;;;;;
8;;;;;
7;;;;;
13;;;;;
11;;;;;
9;;;;;
6;;;;;
15;;;;;
20;;;;;
7;;;;;
11;;;;;
9;;;;;
8;;;;;
14;;;;;
6;;;;;
8;;;;;
10;;;;;
12;;;;;
11;;;;;
17;;;;;
9;;;;;
11;;;;;
13;;;;;
14;;;;;
8;;;;;
7;;;;;
15;;;;;
11;;;;;
9;;;;;
12;;;;;
7;;;;;
14;;;;;
6;;;;;
11;;;;;
14;;;;;
12;;;;;
10;;;;;
10;;;;;
11;;;;;
13;;;;;
6;;;;;
15;;;;;
13;;;;;
15;;;;;
9;;;;;
8;;;;;
7;;;;;
9;;;;;
4;;;;;
11;;;;;
8;;;;;
11;;;;;
10;;;;;
12;;;;;
8;;;;;
12;;;;;
18;;;;;
11;;;;;
11;;;;;
8;;;;;
12;;;;;
12;;;;;
8;;;;;
6;;;;;
11;;;;;
8;;;;;
6;;;;;
10;;;;;
6;;;;;
11;;;;;
10;;;;;
7;;;;;
13;;;;;
8;;;;;
16;;;;;
10;;;;;
13;;;;;
12;;;;;
7;;;;;
12;;;;;
11;;;;;
10;;;;;
11;;;;;
9;;;;;
15;;;;;
13;;;;;
9;;;;;
10;;;;;
15;;;;;
11;;;;;
4;;;;;
8;;;;;
